data,long,lat,percentDecline,peakQuarter,averageDecline,rank,rank1,category,percentUnemployment2011,averageUnemploymentRate
"Youngstown-Warren-Boardman, OH-PA",-80.644184,41.100307,-22.3,First Quarter 2005,-26.7,45,-20% to -29.9%,4,9.7,9.3
"Portland-South Portland-Biddeford, ME",-70.259702,43.658147,-22,First Quarter 2006,-26.7,44,-20% to -29.9%,4,6.3,9.3
"Colorado Springs, CO",-104.821854,38.832855,-21.4,First Quarter 2007,-26.7,43,-20% to -29.9%,4,9.8,9.3
"Hartford-West Hartford-East Hartford, CT",-72.672066,41.766837,-21.4,First Quarter 2007,-26.7,42,-20% to -29.9%,4,9.2,9.3
"Kansas City, MO-KS",-94.583502,39.087311,-20.7,Fourth Quarter 2006,-26.7,41,-20% to -29.9%,4,8.5,9.3
"Cincinnati-Middletown, OH-KY-IN",-84.512424,39.099127,-20.6,First Quarter 2005,-26.7,40,-20% to -29.9%,4,9.2,9.3
"Charlotte-Gastonia-Concord, NC-SC",-80.851931,35.247844,-20.5,First Quarter 2009,-26.7,39,-20% to -29.9%,4,11.3,9.3
"St. Louis, MO-IL",-90.195595,38.625404,-20.5,Fourth Quarter 2006,-26.7,38,-20% to -29.9%,4,8.7,9.3
"Salt Lake City, UT",-111.903206,40.757871,-20.4,Fourth Quarter 2006,-26.7,37,-20% to -29.9%,4,9,9.3
"Denver-Aurora, CO",-104.993946,39.753097,-20.2,First Quarter 2005,-26.7,36,-20% to -29.9%,4,8.8,9.3
"New Orleans-Metairie-Kenner, LA",-90.064042,29.960568,-19.5,First Quarter 2007,-26.7,35,-15% to -19.9%,3,8,9.3
"Birmingham-Hoover, AL",-86.808376,33.515769,-19.3,Fourth Quarter 2006,-26.7,34,-15% to -19.9%,3,9.7,9.3
"Augusta-Richmond County, GA-SC",-81.984598,33.464666,-18.6,First Quarter 2009,-26.7,33,-15% to -19.9%,3,9.8,9.3
"Indianapolis-Carmel, IN",-86.157154,39.767475,-18,First Quarter 2005,-26.7,32,-15% to -19.9%,3,8,9.3
"Honolulu, HI",-157.836947,21.28897,-17.1,First Quarter 2007,-26.7,31,-15% to -19.9%,3,5.7,9.3
"Madison, WI",-89.383038,43.073595,-16.7,Fourth Quarter 2006,-26.7,30,-15% to -19.9%,3,6.1,9.3
"Omaha-Council Bluffs, NE-IA",-95.935578,41.261006,-16.3,First Quarter 2005,-26.7,29,-15% to -19.9%,3,5,9.3
"Columbia, SC",-81.041306,34.002694,-16.2,First Quarter 2009,-26.7,28,-15% to -19.9%,3,10,9.3
"Des Moines-West Des Moines, IA",-93.621954,41.584147,-16.2,Fourth Quarter 2006,-26.7,27,-15% to -19.9%,3,6,9.3
"Greensboro-High Point, NC",-79.801666,36.065695,-16,Fourth Quarter 2006,-26.7,26,-15% to -19.9%,3,10.9,9.3
"Chattanooga, TN-GA",-85.306365,35.041562,-15.9,First Quarter 2007,-26.7,25,-15% to -19.9%,3,9.1,9.3
"Nashville-Davidson--Murfreesboro--Franklin, TN",-86.778284,36.16398,-15.6,First Quarter 2007,-26.7,24,-15% to -19.9%,3,8.9,9.3
"Raleigh-Cary, NC",-78.636257,35.775781,-15.3,First Quarter 2009,-26.7,23,-15% to -19.9%,3,8.6,9.3
"Knoxville, TN",-83.919258,35.965015,-14.8,First Quarter 2007,-26.7,22,-10% to -14.9%,2,8.3,9.3
"McAllen-Edinburg-Mission, TX",-98.228577,26.204201,-14.7,Fourth Quarter 2006,-26.7,21,-10% to -14.9%,2,13.1,9.3
"Seattle-Tacoma-Bellevue, WA",-122.332565,47.430903,-14.6,First Quarter 2009,-26.7,20,-30% to -39.9%,6,9.2,9.3
"Jackson, MS",-90.192226,32.300005,-14.5,First Quarter 2007,-26.7,19,-10% to -14.9%,2,8.8,9.3
"Louisville-Jefferson County, KY-IN",-85.752542,38.254672,-14,First Quarter 2007,-26.7,18,-10% to -14.9%,2,9.5,9.3
"El Paso, TX",-106.484581,31.773933,-13.6,Third Quarter 2007,-26.7,17,-10% to -14.9%,2,10.9,9.3
"Dallas-Fort Worth-Arlington, TX",-97.032078,32.780894,-13.5,First Quarter 2009,-26.7,16,-10% to -14.9%,2,8.7,9.3
"Albany-Schenectady-Troy, NY",-73.813959,42.754319,-13.1,First Quarter 2007,-26.7,15,-10% to -14.9%,2,7.2,9.3
"Greenville-Mauldin-Easley, SC",-82.394865,34.852753,-13,First Quarter 2009,-26.7,14,-10% to -14.9%,2,9.7,9.3
"Houston-Sugar Land-Baytown, TX",-95.362886,29.757381,-12.8,First Quarter 2009,-26.7,13,-10% to -14.9%,2,9,9.3
"Harrisburg-Carlisle, PA",-76.89485,40.277502,-12.4,First Quarter 2007,-26.7,12,-10% to -14.9%,2,7.4,9.3
"Little Rock-North Little Rock-Conway, AR",-92.277416,34.742406,-12.1,Fourth Quarter 2006,-26.7,11,-10% to -14.9%,2,7.7,9.3
"Austin-Round Rock, TX",-97.738052,30.269912,-12,First Quarter 2009,-26.7,10,-10% to -14.9%,2,7.6,9.3
"San Diego-Carlsbad-San Marcos, CA",-117.158405,32.713115,-11.2,First Quarter 2009,-26.7,9,-40% to -49.9%,7,8.1,9.3
"Wichita, KS",-97.323906,37.685943,-11.1,First Quarter 2009,-26.7,8,-10% to -14.9%,2,7.9,9.3
"Tulsa, OK",-95.987442,36.141448,-10.9,First Quarter 2009,-26.7,7,-10% to -14.9%,2,6.7,9.3
"Oklahoma City, OK",-97.491174,35.482449,-10.6,First Quarter 2009,-26.7,6,-10% to -14.9%,2,5.7,9.3
"Baton Rouge, LA",-91.17218,30.443335,-10.3,First Quarter 2009,-26.7,5,-10% to -14.9%,2,8.4,9.3
"Rochester, NY",-77.607284,43.156272,-10.2,Third Quarter 2005,-26.7,4,-7.9% to -9.9%,1,7.4,9.3
"Syracuse, NY",-76.150999,43.049965,-9.9,First Quarter 2009,-26.7,3,-7.9% to -9.9%,1,8,9.3
"Pittsburgh, PA",-80.000627,40.440636,-8.6,First Quarter 2009,-26.7,2,-7.9% to -9.9%,1,7.4,9.3
"Buffalo-Niagara Falls, NY",-78.875944,42.885245,-7.9,First Quarter 2009,-26.7,1,-7.9% to -9.9%,1,7.7,9.3
